geolocation_city,total_orders
boa ventura,1
sao jose do ribeirao,1
jardim abc de goias,1
jequiriçá,1
sao joao de petropolis,1
joselândia,1
josé boiteux,1
sao bras,1
lagoa do piaui,1
lagoa salgada,1
